date,GULF,POSTWAR,R_FTSE,R_STOCK1,R_STOCK2,R_STOCK3
1990-01-22,0,0,-0.00528868575151353,-0.0121492218387633,0.0,0.0141990971776619
1990-01-23,0,0,-0.00669491959516221,0.0101527422384633,0.0150221165506518,0.0157518291843334
1990-01-24,0,0,-0.0117687900457852,0.00199647960030002,0.00745185672534187,0.01720524368982
1990-01-25,0,0,0.00856066003854039,0.0,0.0219799755578931,0.0
1990-01-26,0,0,-0.00406950005975659,-0.0101323897805603,0.0,-0.00685623820195857
1990-01-27,0,0,0.00353380967598138,-0.0101990979642883,-0.0145832385104425,-0.0190639235145324
1990-01-28,0,0,-0.00825005800289169,-0.00207461268052533,0.00486855878888992,-0.0105740235682469
1990-01-29,0,0,0.00296709442636533,0.00207461268052533,0.00971467972155259,0.00178248753654219
1990-01-30,0,0,-0.00458922788709426,-0.0166057885987767,-0.00482137764398693,-0.00178248753654219
1990-01-31,0,0,-0.000902323544190508,-0.0126473721874154,-0.00976186086645558,-0.0178504739736222
1990-02-01,0,0,0.00297458304780917,0.00213170998120393,-0.00985809498989631,-0.00181786097981895
1990-02-02,0,0,-0.0034260503240997,0.00421197048215127,0.00491667247392513,-0.00722830543638242
1990-02-03,0,0,-0.00389105549296697,0.0104716943034572,0.0243707708392149,-0.00730657518243838
1990-02-04,0,0,-0.00965706953823897,0.00415070241608006,0.0143046279003851,0.0109399400383347
1990-02-05,0,0,0.00109794603645951,-0.0167451373672813,-0.0239721153571732,-0.00182773640097799
1990-02-06,0,0,-0.0128386826647117,-0.008459771511375,-0.00976186086645558,0.00724053796128298
1990-02-07,0,0,0.000324141606412808,-0.0106957006084771,-0.00494142251597118,-0.00361371582120995
1990-02-08,0,0,-0.00780854536957775,-0.00216844228241353,0.00494142251597118,0.00540309845776398
1990-02-09,0,0,-0.00444268507282608,-0.0195723944693106,-0.00739673704745058,-0.0108355490527554
1990-02-10,0,0,-0.0127354204653622,0.0109295002101319,0.0122652958363405,0.0286791279263658
1990-02-11,0,0,-0.00152019031651384,0.00218724455436891,0.0,-0.00354333518221849
1990-02-12,0,0,0.00686994860762801,-0.0175142718084044,0.0121166793391553,0.0088226053871514
1990-02-13,0,0,0.00925867264877045,-0.0200925128728286,-0.00722337726158972,0.0191544992559018
1990-02-14,0,0,-0.00126389718404773,-0.00450679826544675,-0.00489330207756566,0.0
1990-02-15,0,0,0.0127064147003919,-0.0298628282688398,-0.0246828991844143,-0.00692731540245894
1990-02-16,0,0,0.00911566553434539,-0.0164440540930108,-0.0100563699279199,0.00863962393982564
1990-02-17,0,0,-0.00888444631437312,0.0257503288740146,0.0,0.00686792796340718
1990-02-18,0,0,-0.00263907368948679,0.0160293520039029,0.0050658415545941,0.00169769178658718
1990-02-19,0,0,0.00872400464832079,-0.0091163574858486,-0.0203170681833553,0.00171866463902947
1990-02-20,0,0,0.0175842723257764,-0.00691299451805438,-0.0103154541757106,-0.0311510921822924
1990-02-21,0,0,-0.00103914889509937,-0.00232887071905185,-0.010422972837734,-0.0052792702049329
1990-02-22,0,0,0.00401507317630933,0.0,-0.00522631063129797,0.00175462487404232
1990-02-23,0,0,0.0281008391462442,0.0,0.0130666374053998,0.0
1990-02-24,0,0,-0.0067201307034832,0.00924186523710623,0.0154476911365462,0.00352464533089058
1990-02-25,0,0,0.00571279458414064,-0.00924186523710623,-0.0128650450729139,-0.0123785404524223
1990-02-26,0,0,0.0127140651112789,0.00692905703645507,0.0,0.0193907792578853
1990-02-27,0,0,-0.0103943354355271,0.00913737012640769,-0.00522383457951658,-0.0105368841363535
1990-02-28,0,0,-0.00451309781249786,0.0247655598130887,0.00522383457951658,0.00175155155732476
1990-03-01,0,0,-0.00506307903521818,0.0176301537653484,0.0154081520841273,0.0140002776270087
1990-03-02,0,0,0.0131546227348069,0.0108582092473943,0.0101585287203445,0.0189239083288494
1990-03-03,0,0,0.0218027508374119,-0.0108582092473943,-0.0152512266287612,-0.00341635642561666
1990-03-04,0,0,-0.00046895317722484,0.00868040641107281,0.00509269790841671,0.00679731202716737
1990-03-05,0,0,0.0111524531295756,-0.0152602847633058,-0.00509269790841671,0.00170992988204243
1990-03-06,0,0,0.00319973327898726,-0.0199631335157448,0.0102101311116999,-0.00509088548359315
1990-03-07,0,0,0.000462272286603671,-0.0226772636362158,-0.00511743320328328,-0.0137360179053391
