Date,return
2010-12-01,0.03601409
2011-01-01,0.050654627
2011-02-01,0.04011889
2011-03-01,-0.013395958
2011-04-01,0.0046381135
2011-05-01,-0.0065908073
2011-06-01,-0.035585742
2011-07-01,0.15124847
2011-08-01,-0.014575065
2011-09-01,-0.009162815
2011-10-01,0.059705056
2011-11-01,-0.057399914
2011-12-01,0.057943277
2012-01-01,0.11965746
2012-02-01,0.17253247
2012-03-01,0.100102045
2012-04-01,-0.026312614
2012-05-01,-0.01075997
2012-06-01,0.010793978
2012-07-01,0.044802845
2012-08-01,0.08544441
2012-09-01,0.0070764273
2012-10-01,-0.11384129
2012-11-01,-0.017008496
2012-12-01,-0.09057045
2013-01-01,-0.15558904
2013-02-01,-0.031422354
2013-03-01,0.008661671
2013-04-01,0.00027110605
2013-05-01,0.015574244
2013-06-01,-0.11929827
2013-07-01,0.13210227
2013-08-01,0.07386192
2013-09-01,-0.015142555
2013-10-01,0.09201509
2013-11-01,0.06188702
2013-12-01,0.014683894
2014-01-01,-0.11394959
2014-02-01,0.049950473
2014-03-01,0.025724217
2014-04-01,0.094761364
2014-05-01,0.070195176
2014-06-01,0.032855954
2014-07-01,0.028326377
2014-08-01,0.06968995
2014-09-01,-0.012259094
2014-10-01,0.06948895
2014-11-01,0.09640433
2014-12-01,-0.07027935
2015-01-01,0.05961142
2015-02-01,0.09207722
2015-03-01,-0.02793545
2015-04-01,0.0057695354
2015-05-01,0.040173005
2015-06-01,-0.033769682
2015-07-01,-0.033480987
2015-08-01,-0.0730052
2015-09-01,-0.01754145
2015-10-01,0.0801124
2015-11-01,-0.010092595
2015-12-01,-0.11251893
2016-01-01,-0.07822359
2016-02-01,-0.0066997525
2016-03-01,0.12515767
2016-04-01,-0.15073128
2016-05-01,0.063244365
2016-06-01,-0.037526473
2016-07-01,0.086235195
2016-08-01,0.017974062
2016-09-01,0.06885077
2016-10-01,0.0043251985
2016-11-01,-0.026959106
2016-12-01,0.05196213
2017-01-01,0.04664135
2017-02-01,0.12122934
2017-03-01,0.051867638
2017-04-01,-6.96137e-05
