month,smb,hml,umd,rf,rm,rmrf
1988m2,0.00915923,0.00477598,0.00943325,0.0070581252,-0.0049875207,-0.01204565
1988m3,0.01975217,0.0221653,0.02825535,0.0065043955,-0.008860512,-0.01536491
1988m4,-0.0035372,0.00846153,0.00602774,0.0063031151,0.0386273658,0.03232425
1988m5,0.02318202,0.00113282,0.02891815,0.0057749444,-0.0014988756,-0.00727382
1988m6,0.0005721,-0.00027757,-0.02787061,0.0072343756,0.0463417147,0.03910734
1988m7,0.01696421,0.01662885,0.01869451,0.0081749001,0.0058168525,-0.00235805
1988m8,-0.00149763,0.01505751,0.01640154,0.0090994842,-0.0523783898,-0.06147787
1988m9,-0.0295048,0.01266142,0.0183409,0.0090322132,0.0423731602,0.03334095
1988m10,0.01622902,0.02585981,-0.00932939,0.0091163029,0.0240854809,0.01496918
1988m11,0.01058819,0.03189718,0.01536595,0.0099239188,-0.0295544658,-0.03947838
1988m12,-0.03919985,0.00530531,-0.00903727,0.0098734237,-0.0034938822,-0.01336731
1989m1,-0.03586315,-0.00038012,-0.03634154,0.009721954,0.1424784765,0.13275652
1989m2,0.03812945,-0.01016452,0.03686631,0.0098734237,-0.0081664717,-0.0180399
1989m3,-0.0172534,-0.00811563,0.01548823,0.0097808565,0.0358268533,0.026046
1989m4,-0.01955155,-0.00522298,0.01364342,0.0096630555,0.01643357,0.00677051
1989m5,-0.00681317,-0.00617179,0.02904731,0.0104374273,0.00451014,-0.00592729
1989m6,-0.02018927,0.01268196,0.00653507,0.0106984907,0.0133888382,0.00269035
1989m7,-0.02521153,0.01690614,-0.00161029,0.0104121668,0.0685472303,0.05813506
1989m8,-0.03200743,-0.04804186,0.00836855,0.0104963715,0.0325175069,0.02202114
1989m9,0.0202215,0.01222037,-0.00926832,0.0105637401,-0.0280005109,-0.03856425
1989m10,-0.03641578,-0.01118978,0.02057941,0.0105637401,-0.0723492808,-0.08291302
1989m11,-0.04955011,-0.00866209,0.03270241,0.0105721616,0.0573861836,0.04681402
1989m12,-0.02870649,0.01990488,-0.00864027,0.0113303741,0.0617303689,0.05039999
1990m1,0.0336541,0.00179506,0.00914165,0.0113135197,-0.027611634,-0.03892515
1990m2,-0.00711779,-0.01423928,0.02273678,0.0112292469,-0.0346842234,-0.04591347
1990m3,-0.02372201,-0.01242726,0.01796558,0.0114146553,-0.0024968775,-0.01391153
1990m4,0.0050701,0.00562575,-0.00496235,0.0114399414,-0.0603050697,-0.07174501
1990m5,-0.05498756,0.00604843,-0.0092795,0.0113219475,0.1108216852,0.09949974
1990m6,0.00832793,0.00330608,0.00998543,0.0112123929,0.0187740576,0.00756166
1990m7,0.00797521,0.01865915,0.0157256,0.0112208199,-0.0167579953,-0.02797882
1990m8,-0.04104752,0.01940555,0.01677939,0.0111871125,-0.0796488499,-0.09083596
1990m9,-0.01706117,-0.00867449,0.04667722,0.0111534075,-0.0801089114,-0.09126232
1990m10,-0.02296355,0.02223839,0.00818716,0.0103279692,0.0365521866,0.02622422
1990m11,-0.04090018,0.02849347,0.01671661,0.0100080822,0.044459993,0.03445191
1990m12,-0.00099751,-0.01137735,0.00054251,0.0102774538,0.0047110623,-0.00556639
1991m1,-0.05565114,-0.0213856,0.00255083,0.0100922532,0.0084353787,-0.00165687
1991m2,0.06102919,0.01116258,-0.05705906,0.009536855300000001,0.1143820103,0.10484516
1991m3,0.05411022,-0.02524772,-0.02137707,0.0091583498,0.0418521067,0.03269376
1991m4,-0.00366284,-0.00974852,0.02202922,0.0088640549,0.0118698951,0.00300584
1991m5,-0.0224678,-0.02727421,0.02877308,0.0085446321,0.003305451,-0.00523918
1991m6,-0.00893065,-0.02894964,0.01730068,0.0084942059,-0.029748537,-0.03824274
1991m7,-0.05790897,-0.00501762,0.03824371,0.008317735,0.0685472303,0.0602295
1991m8,0.02215365,-0.01118182,-0.00863796,0.0080236852,0.0304545333,0.02243085
1991m9,0.04753415,0.00807135,0.02594946,0.0077465171,0.0018016209,-0.0059449
1991m10,0.00656917,-0.04396871,0.0542651,0.0079648858,-0.0176425154,-0.0256074
1991m11,0.02316778,-0.04739225,0.02798034,0.0080320856,-0.0522836213,-0.06031571
1991m12,-0.06471811,-0.04190544,0.05543213,0.0081160919,0.0203033646,0.01218727
1992m1,0.00661615,-0.01831463,0.00795457,0.007880892,0.0380043773,0.03012349
1992m2,0.0083622,-0.00397539,0.02795829,0.0077717109,0.0056157091,-0.002156
1992m3,-0.00298375,-0.01684558,0.01539587,0.0081328937,-0.0432374136,-0.05137031
1992m4,0.00575956,0.06054516,-0.04811912,0.007830499,0.0989992616,0.09116876
1992m5,0.0310631,0.00196429,0.00284077,0.0075365914,0.0265462374,0.01900965
1992m6,-0.00168413,-0.00284432,0.06010189,0.0075617805,-0.0688175045,-0.07637929
1992m7,-0.04966549,-0.03890508,0.01416594,0.0076793357,-0.056350051,-0.06402939
1992m8,-0.02114876,0.00070999,0.04013642,0.0077381191,-0.0361311109,-0.04386923
1992m9,-0.02577949,-0.01635135,-0.00111596,0.0066134393,0.103955896,0.09734246
1992m10,-0.02228486,0.02348207,-0.02440713,0.005464878,0.0459232625,0.04045838
1992m11,-0.00363909,0.00831012,0.0012533,0.0052302973,0.0487510721,0.04352077
1992m12,0.05564347,0.02382261,-0.02665691,0.0051297792,0.0424774045,0.03734763
1993m1,0.07582233,0.03351435,0.01913337,0.004953897,0.0040080109,-0.00094589
1993m2,-0.00210049,0.04399987,-0.00135622,0.0044013243,0.0271623489,0.02276102
1993m3,0.00912344,0.03689435,0.01739428,0.0043845841,0.0117687124,0.00738413
1993m4,0.04094795,0.02839651,-0.02868115,0.0043845841,-0.010346107,-0.01473069
1993m5,0.01320446,0.02255357,0.01404272,0.004267413,0.013794275,0.00952686
1993m6,0.00549481,0.02429882,0.02762835,0.0042255693,0.0238806846,0.01965512
1993m7,-0.01800358,0.02938565,0.03632358,0.0041502552,0.0147071009,0.01055685
1993m8,0.00729538,0.00524798,-0.00841679,0.0041502552,0.0642815817,0.06013133
1993m9,0.00906497,0.02730333,0.03213967,0.0042255693,-0.0168563163,-0.02108189
1993m10,-0.02161962,0.00189375,0.01088865,0.0040833142,0.0421647068,0.03808139
1993m11,-0.02485367,-0.00268092,0.00980567,0.0040414781,-0.0026963583,-0.00673784
1993m12,-0.00927055,0.00852468,0.0371867,0.0039912774,0.0838288458,0.07983757
1994m1,0.07117563,0.02337985,0.0128355,0.0039578117,0.0407066995,0.03674889
1994m2,0.03975554,0.0050953,-0.00963431,0.0038490555,-0.0380569226,-0.04190598
1994m3,-0.0099109,-0.00321718,0.00132143,0.0040163773,-0.0620887937,-0.06610517
1994m4,-0.00135491,-0.00025825,0.00641827,0.0039494452,0.0152145814,0.01126514
1994m5,0.01697913,0.0069232,-0.00458674,0.0039159809,-0.0482948416,-0.05221082
1994m6,-0.03717936,-2.088e-05,-0.01064058,0.0040080107,-0.0207810352,-0.02478905
1994m7,-0.0249652,0.01337195,0.02158143,0.0045519956,0.0600329576,0.05548096
1994m8,-0.03394966,-0.0042752,-0.00296414,0.004359475,0.055801294,0.05144182
